country,info
"Bolivia","This landlocked South American country contains high Andean plateaus, salt flats, and part of the Amazon basin."
"Palestine","This eastern Mediterranean territory contains historic cities and sites sacred to several major world religions."
"Bosnia and Herzegovina","This Balkan country is marked by rugged mountains, the historic city of Mostar, and a small Adriatic coastline."
"Botswana","This southern African country is known for the Okavango Delta, vast wildlife areas, and the Kalahari."
"Brunei","This small Southeast Asian sultanate occupies part of Borneo and is known for oil wealth and rainforest."
"Burkina Faso","This landlocked West African country lies in the Sahel and has a strong tradition of music and cultural festivals."
"Burundi","This small Great Lakes nation is known for mountainous terrain, Lake Tanganyika, and traditional drumming."
"Cabo Verde","This Atlantic island nation is known for volcanic landscapes, dry mountains, and a distinctive Creole culture."
"Central African Republic","This landlocked Central African nation contains dense tropical forests in the south and savanna in the north."
"Chad","This large landlocked country spans the Sahara, Sahel, and more fertile southern regions."
"Comoros","This small Indian Ocean archipelago is volcanic, culturally influenced by Africa and Arabia, and located near Madagascar."
"Democratic Republic of the Congo","This vast Central African country contains enormous rainforest areas and much of the Congo River basin."
"Djibouti","This small Horn of Africa country sits beside the Red Sea and contains striking volcanic landscapes and salt lakes."
"Dominica","This Caribbean island is known for mountainous rainforests, volcanic terrain, and abundant natural hot springs."
"Dominican Republic","This Caribbean country occupies the eastern part of Hispaniola and is famous for beaches, baseball, and merengue."
"Equatorial Guinea","This Central African country includes a mainland territory and several islands in the Gulf of Guinea."
"Eritrea","This Horn of Africa country has a long Red Sea coastline, highland terrain, and Italian-influenced architecture."
"Eswatini","This small southern African kingdom is known for traditional ceremonies, rolling hills, and a strong cultural heritage."
"Fiji","This South Pacific island nation is known for coral reefs, tropical islands, and a strong rugby tradition."
"Gabon","This Central African country has extensive equatorial rainforest and is known for national parks rich in wildlife."
"Gambia","This narrow West African country follows the course of a major river and is surrounded on three sides by another nation."
"Georgia","This Caucasus country is known for mountain landscapes, ancient wine-making traditions, and a unique alphabet."
"Ghana","This West African coastal country is known for cocoa production, historic forts, and a vibrant musical culture."
"Grenada","This Caribbean island state is famous for nutmeg production, lush hills, and clear waters."
"Guatemala","This Central American country is known for Maya heritage, volcanic highlands, and colorful traditional textiles."
"Guinea","This West African country contains the source region of several major rivers and has a mineral-rich landscape."
"Guinea-Bissau","This small West African coastal nation is known for mangrove-lined islands and the Bijagos archipelago."
"Guyana","This northern South American country is known for vast forests, English as its official language, and dramatic waterfalls."
"Haiti","This Caribbean country occupies the western part of Hispaniola and has a distinctive Creole culture and revolutionary history."
"Honduras","This Central American country is known for Caribbean beaches, Maya ruins, tropical forests, and the Bay Islands."
"Hungary","This landlocked Central European country is known for Budapest, thermal baths, and a distinctive language unrelated to its neighbors."
"Iceland","This North Atlantic island is famous for volcanoes, glaciers, geothermal landscapes, and dramatic winter skies."
"Iran","This ancient Persian cultural center has varied deserts, mountains, and a long tradition of poetry and architecture."
"Iraq","This Mesopotamian country lies between two great rivers and contains sites connected with some of humanity's earliest cities."
"Jamaica","This Caribbean island is famous for reggae music, sprinting champions, and mountainous tropical landscapes."
"Jordan","This Middle Eastern kingdom is home to Petra, the Dead Sea, and landscapes dominated by desert and rocky valleys."
"Kazakhstan","This enormous Central Asian country has vast steppe landscapes, high mountains, and a coastline on the Caspian Sea."
"Kiribati","This Pacific island nation is scattered across a huge ocean area and includes many low-lying coral atolls."
"Kuwait","This small Gulf state is known for major oil reserves, a modern capital skyline, and a strategic coastal position."
"Kyrgyzstan","This mountainous Central Asian country is known for alpine lakes, high pastures, and a strong nomadic heritage."
"Laos","This landlocked Southeast Asian country is crossed by the Mekong and is known for mountainous terrain and Buddhist traditions."
"Kosovo","This small Balkan territory is known for rugged mountains, a young population, and a complex modern political history."
"Latvia","This Baltic country is known for dense forests, a long coastline, and the historic architecture of Riga."
"Lebanon","This small eastern Mediterranean country combines coastal cities, rugged mountains, ancient ruins, and a famous culinary tradition."
"Lesotho","This mountainous southern African kingdom is completely surrounded by another country and is sometimes called the kingdom in the sky."
"Liberia","This West African coastal nation has historical ties to formerly enslaved people from the United States and extensive rainforests."
"Libya","This North African country has a long Mediterranean coastline and an enormous interior dominated by the Sahara."
"Liechtenstein","This tiny Alpine principality lies between two larger countries and is known for mountain scenery and castles."
"Lithuania","This Baltic country has a strong medieval heritage, extensive forests, and a coastline on the Baltic Sea."
"Luxembourg","This small landlocked European state is known for castles, high incomes, and a multilingual population."
"Madagascar","This large island off southeastern Africa is famous for lemurs, unusual plants, and ecosystems found nowhere else."
"Malawi","This landlocked southeastern African country is centered around a long freshwater lake and is known for friendly tourism."
"Maldives","This Indian Ocean island nation consists of low coral atolls and is famous for turquoise waters and luxury resorts."
"Mali","This large West African country contains parts of the Sahara and Sahel and has historic links to the medieval city of Timbuktu."
"Malta","This tiny Mediterranean island state has ancient stone architecture, fortified harbors, and a long maritime history."
"Marshall Islands","This Pacific island nation consists largely of low coral atolls and is spread across a vast ocean area."
"Mauritania","This northwest African country is dominated by desert and lies along the Atlantic coast."
"Mauritius","This Indian Ocean island nation is known for beaches, coral reefs, volcanic landscapes, and a highly diverse population."
"Micronesia","This Pacific federation is made up of many islands spread across a large area of the western Pacific."
"Moldova","This landlocked Eastern European country is known for vineyards, rolling countryside, and a strong wine tradition."
"Monaco","This tiny Mediterranean principality is famous for luxury, a celebrated motor race, and a densely built coastline."
"Mongolia","This vast East Asian country is known for open steppe, nomadic traditions, and the legacy of a famous medieval empire."
"Montenegro","This small Balkan country is known for dramatic Adriatic mountains, medieval coastal towns, and the Bay of Kotor."
"Mozambique","This southeastern African country has a long Indian Ocean coastline, coral islands, and Portuguese cultural influences."
"Myanmar","This Southeast Asian country is known for thousands of Buddhist temples, the Irrawaddy River, and diverse ethnic cultures."
"Namibia","This southwestern African country is famous for enormous sand dunes, desert landscapes, and a sparsely populated Atlantic coast."
"Nauru","This tiny Pacific island state is one of the world's smallest countries and was historically shaped by phosphate mining."
"Nepal","This Himalayan country is home to Mount Everest, ancient temples, and diverse mountain and lowland landscapes."
"Nicaragua","This Central American country is known for large freshwater lakes, volcanoes, and Pacific and Caribbean coasts."
"Niger","This landlocked West African country is dominated by the Sahara and Sahel and is named after a major river."
"Nigeria","This populous West African country is known for Nollywood, Afrobeats, major oil production, and diverse cultures."
"North Korea","This East Asian state is highly isolated and occupies the northern part of the Korean Peninsula."
"North Macedonia","This landlocked Balkan country is known for Lake Ohrid, mountain landscapes, and a rich ancient and medieval heritage."
"Oman","This Arabian Peninsula country is known for dramatic mountains, desert landscapes, and a long maritime tradition."
"Palau","This western Pacific island nation is famous for clear waters, coral reefs, and unusual marine rock formations."
"Panama","This Central American country is famous for the canal linking two oceans and for tropical rainforests."
"Papua New Guinea","This Pacific island country is known for extraordinary linguistic diversity, rugged mountains, and dense tropical forests."
"Paraguay","This landlocked South American country has a strong Guarani cultural influence and lies between several major neighbors."
"Peru","This Andean country is famous for Machu Picchu, ancient civilizations, Pacific deserts, and Amazon rainforest."
"Qatar","This small Gulf peninsula is known for vast natural-gas wealth, futuristic architecture, and hosting major international events."
"Romania","This southeastern European country is known for the Carpathian Mountains, medieval towns, and legends surrounding Transylvania."
"Antarctica","This polar continent is almost entirely covered by ice and is governed through an international treaty system."
"Rwanda","This small Great Lakes country is known for steep green hills, mountain gorillas, and strong conservation efforts."
"Saint Kitts and Nevis","This small Caribbean federation consists of two volcanic islands known for beaches, mountains, and former sugar plantations."
"Saint Lucia","This Caribbean island is famous for the dramatic Pitons, lush rainforests, and volcanic landscapes."
"Saint Vincent and the Grenadines","This Caribbean state consists of a main volcanic island and numerous smaller islands surrounded by clear tropical waters."
"Samoa","This Polynesian island nation is known for volcanic landscapes, traditional village life, and a strong cultural connection to the ocean."
"San Marino","This tiny European republic is surrounded by another country and claims one of the world's oldest surviving republican traditions."
"Senegal","This West African coastal country is known for the music of Dakar, the Sahel, and a major river forming its northern boundary."
"Seychelles","This Indian Ocean archipelago is famous for granite islands, lush vegetation, and exceptionally clear tropical waters."
"Sierra Leone","This West African coastal country is known for lush hills, Atlantic beaches, and a capital located on a natural harbor."
"Singapore","This highly urbanized Southeast Asian city-state is known for a major port, strict public-order culture, and futuristic architecture."
"Slovakia","This landlocked Central European country is known for the High Tatras, medieval castles, and historic mountain towns."
"Slovenia","This small Central European country combines Alpine scenery, caves, forests, and a short Adriatic coastline."
"Solomon Islands","This Pacific archipelago is known for tropical forests, coral reefs, and important World War II history."
"Somalia","This Horn of Africa country has a very long Indian Ocean coastline and a deep tradition of seafaring and pastoralism."
"South Sudan","This landlocked East African country contains vast wetlands and savannas and became independent in the twenty-first century."
"Sri Lanka","This Indian Ocean island is famous for tea plantations, ancient Buddhist sites, tropical wildlife, and beautiful beaches."
"Sudan","This northeastern African country contains extensive desert regions and the meeting point of two major branches of the Nile."
"Suriname","This northeastern South American country is heavily forested and is culturally notable for its Dutch colonial heritage."
"Syria","This Levantine country contains ancient cities, Mediterranean coastline, and sites connected with some of the world's earliest civilizations."
"Macau","This densely populated Asian territory is known for historic Portuguese influences, casino tourism, and a distinctive waterfront skyline."
"Sao Tome and Principe","This tiny Gulf of Guinea island state is known for volcanic peaks, cocoa plantations, and lush tropical forests."
"Tajikistan","This mountainous Central Asian country is dominated by the Pamirs and contains some of the region's highest peaks."
"Tanzania","This East African country is home to Kilimanjaro, the Serengeti, and the islands of Zanzibar."
"Timor Leste","This young Southeast Asian nation occupies the eastern part of Timor and is known for rugged mountains and coral seas."
"Togo","This narrow West African country stretches from the Gulf of Guinea toward the Sahel and has a diverse cultural landscape."
"Tonga","This Polynesian kingdom is an island archipelago known for volcanic landscapes, traditional culture, and a strong connection to the ocean."
"Trinidad and Tobago","This Caribbean twin-island state is famous for carnival, calypso, and a major energy industry."
"Tunisia","This North African country combines Mediterranean beaches, ancient ruins, and the northern edge of the Sahara."
"Turkmenistan","This Central Asian country is dominated by desert and is known for large natural-gas reserves and unusual modern architecture."
"Tuvalu","This tiny Pacific nation consists of low-lying atolls and is especially vulnerable to sea-level rise."
"Uganda","This East African country is known for mountain gorillas, the source region of the Nile, and fertile green landscapes."
"Uruguay","This small South American country is known for Atlantic beaches, cattle ranching, mate culture, and football."
"Uzbekistan","This Central Asian country is famous for Silk Road cities, turquoise-tiled architecture, and vast dry landscapes."
"Vanuatu","This South Pacific island nation is known for active volcanoes, tropical forests, and Melanesian cultural traditions."
"Vatican City","This tiny walled enclave is the spiritual and administrative center of the Roman Catholic Church."
"Venezuela","This northern South American country contains Angel Falls, the Orinoco basin, and some of the world's largest oil reserves."
"Yemen","This southwestern Arabian Peninsula country is known for ancient tower houses, rugged mountains, and a long trading history."
"Zambia","This landlocked southern African country is famous for Victoria Falls, the Zambezi River, and extensive wildlife areas."
"Zimbabwe","This southern African country is known for Victoria Falls, Great Zimbabwe, and diverse savanna wildlife."
"Taiwan","This East Asian island is known for advanced semiconductor manufacturing, rugged mountains, and vibrant night markets."
